,,,,,,,,,,,,,,,,,,,,
,RINGING SURVEY 19 September to 01 November 1993 (table 2),,,,,,,,,,,,,,,CODES,,,,
,Ringing,Tree #,,,Code,Ring,COLOUR RINGS,,Mass,Wing,Age at,Value at,Hatching,Laying ,,1,Chick ringed.,,,
,1994-10-04,32,28 41 05.9,24 49 44.9,1,G19853,M,"R, G, B",3000,205,48,34611,1994-08-17,1994-06-22,,,,,,
,1994-10-04,33,28 41 12.7,24 49 26.3,5,,,,,,,,,,,,,,,
,1994-10-05,34,28 41 06.9,24 49 14.5,6,,,,,,,,,,,,,,,
,1994-10-04,35,28 41 10.0,24 49 13.8,6,,,,,,,,,,,,,,,
,1994-10-05,37,28 37 28.4,24 50 24.3,1,G19757,M,"B, R, G",2200,110,34,34612,1994-09-01,1994-07-07,,,,,,
,1994-10-05,38,28 37 46.5,24 50 01.1,1,G19756,M,"B, G, R",3700,230,52,34612,1994-08-14,1994-06-19,,,,,,
,1994-10-04,39,28 37 48.3,24 49 59.3,8,,,,,,,,,,,,,,,
,1994-10-05,40,28 37 47.1,24 49 40.1,5,,,,,,,,,,,,,,,
,1994-10-05,41,28 37 25.5,24 51 45.6,6,,,,,,,,,,,,,,,
,1994-10-05,43,28 37 44.0,24 51 36.5,1,G19759,M,"B, R, B",4600,440,83,34612,1994-07-14,1994-05-19,,,,,,
,1994-10-05,46,28 39 27.3,24 51 03.5,1,G19760,M,"B, R, Y",5100,345,69,34612,1994-07-28,1994-06-02,,,,,,
,1994-10-05,47,28 39 38.2,24 49 24.4,1,G19764,M,"G, R, B",5500,360,72,34612,1994-07-25,1994-05-30,,,,,,
,1994-10-05,49,28 39 25.6,24 49 39.3,1,G19798,M,"G, W, G",3900,330,67,34612,1994-07-30,1994-06-04,,,,,,
,1994-10-05,50,28 39 31.3,24 49 28.8,1,G19765,M,"G, R, Y",4000,290,61,34612,1994-08-05,1994-06-10,,,,,,
,1994-10-05,58,28 39 12.3,24 50 12.5,1,G19761,M,"B, R, R",4400,315,64,34612,1994-08-02,1994-06-07,,,,,,
,1994-10-05,64,28 36 51.9,24 49 51.0,5,,,,,,,,,,,,,,,
,1994-10-05,68,28 38 54.9,24 50 17.2,2,,,,,55,15,34612,1994-09-20,1994-07-26,,,,,,
,1994-10-04,104,28 40 33.3,24 48 57.4,1,G19854,M,"R, G, Y",4000,280,60,34611,1994-08-05,1994-06-10,,,,,,
,1994-10-05,122,28 40 05.2,24 49 12.0,1,G19800,M,"G, W, B",4400,320,65,34612,1994-08-01,1994-06-06,,,,,,
,1994-10-04,123,28 33 31.7,24 52 14.1,1,G19855,M,"R, G, R",5100,395,76,34611,1994-07-20,1994-05-25,,,,,,
,1994-10-05,125,28 33 21.6,24 51 47.5,2,,,,,,,,,,,,,,,
,1994-10-04,127,28 33 11.8,24 51 18.1,6,,,,,,,,,,,,,,,
,1994-10-05,131,28 33 08.0,24 50 50.6,1,G19862,M,"G, B, G",6000,245,55,34612,1994-08-11,1994-06-16,,,,,,
,1994-10-05,137,28 33 22.2,24 50 48.4,5,,,,,,,,,,,,,,,
,1994-10-05,139,28 33 21.7,24 50 40.8,1,G19864,M,"G, B, Y",5000,490,92,34612,1994-07-05,1994-05-10,,,,,,
,1994-10-05,150,28 37 30.0,24 51 37.3,1,G19758,M,"B, R, W",4600,305,63,34612,1994-08-03,1994-06-08,,,,,,
,1994-10-05,155,28 37 43.1,24 51 38.2,5,,,,,,,,,,,,,,,
,1994-10-04,162,28 39 37.4,24 49 31.7,1,G19765,M,"G, R, Y",4000,290,61,34611,1994-08-04,1994-06-09,,,,,,
,1994-10-05,190,28 39 54.6,24 48 24.3,2,,,,,40,10,34612,1994-09-25,1994-07-31,,,,,,
,1994-10-04,265,28 39 53.9,24 48 30.7,6,,,,,,,,,,,,,,,
,1994-10-05,?,?,?,1,G19763,M,"G, R, W",3500,201,48,34612,1994-08-18,1994-06-23,,,,,,
,1994-10-05,?,?,?,6,,,,,,,,,,,,,,,
,1994-10-04,?,?,?,15,,,,,,,,,,,,,,,
,1994-10-05,?,?,?,1,G19865,M,"G, B, R",5700,500,94,34612,1994-07-03,1994-05-08,,,,,,
,1994-10-04,?,?,?,1,G19861,M,"G, W, Y",4850,320,65,34611,1994-07-31,1994-06-05,,,,,,
,1994-10-04,?,?,?,1,G19799,M,"G, W, W",4600,340,69,34611,1994-07-27,1994-06-01,,,,,,
,1994-10-05,?,?,?,2,,,,1800,115,35,34612,1994-08-31,1994-07-06,,,,,,
,1994-10-05,?,?,?,8,,,,,,,,,,,,,,,
,1994-10-05,?,?,?,1,G19762,M,"G, R, G",4500,345,69,34612,1994-07-28,1994-06-02,,,,,,
,1994-10-05,?,?,?,1,G19863,M,"G, B, B",3700,255,56,34612,1994-08-10,1994-06-15,,,,,,
,TOTALS,59,,,59,34,34,,4106,284,59,,1994-08-06,1994-06-11,,,,,,
,,,,,,,,,,,,,,,,,,,,
,RINGING SURVEY 19 September to 01 November 1995 (table 2),,,,,,,,,,,,,,,,,,,
,Ringing,Tree #,,,Code,Ring,COLOUR RINGS,,Mass,Wing,Age at,Value at,Hatching,Laying ,,,,,,
,Date,DRN,Southings,Eastings,Oct,#,L top down,R top down ,g,length mm,Ringing (days),Ringing,Date,Date,,,,,,
,1995-09-16,3,28 38 55.6,24 47 15.4,5,,,,,,,,,,,,,,,
,1995-09-16,10,28 39 10.2,24 47 07.0,1,G19859,M,"Y, R, Y",2900,205,48,34958,1995-07-30,1995-06-04,,,,,,
,1995-09-16,14,28 39 12.9,24 47 19.3,1,G19858,M,"Y, R, B",2900,190,47,34958,1995-07-31,1995-06-05,,,,,,
,1995-09-16,17,28 40 46.6,24 47 58.6,2,,,,,126,37,34958,1995-08-10,1995-06-15,,,,,,
,1995-09-17,19,28 41 05.8,24 48 16.2,1,G19868,M,"Y, G, W",3800,250,56,34959,1995-07-23,1995-05-28,,,,,,
,1995-09-17,20,28 40 57.1,24 48 13.0,15,,,,,,,,,,,,,,,
,1995-09-17,23,28 40 59.9,24 48 36.5,15,,,,,,,,,,,,,,,
,1995-09-17,25,28 41 10.6,24 48 48.8,15,,,,,,,,,,,,,,,
,1995-09-17,26,28 41 18.7,24 48 50.0,15,,,,,,,,,,,,,,,
,1995-09-17,32,28 41 05.9,24 49 44.9,6,,,,,,,,,,,,,,,
,1995-09-17,35,28 41 10.0,24 49 13.8,1,G19867,M,"Y, G, G",4650,345,69,34959,1995-07-10,1995-05-15,,,,,,
,1995-09-17,37,28 37 28.4,24 50 24.3,1,G20326,M,"G, B, Y",5200,286,60,34959,1995-07-19,1995-05-24,,,,,,
,1995-09-17,38,28 37 46.5,24 50 01.1,1,G20327,M,"G, B, R",2700,160,42,34959,1995-08-06,1995-06-11,,,,,,
,1995-09-17,39,28 37 48.3,24 49 59.3,1,G20328,M,"G, Y, G",2900,152,40,34959,1995-08-08,1995-06-13,,,,,,
,1995-09-17,40,28 37 47.1,24 49 40.1,1,G20329,M,"G, Y, W",2800,164,42,34959,1995-08-06,1995-06-11,,,,,,
,1995-09-17,42,28 37 31.7,24 51 41.4,1,G20330,M,"G, Y, B",3000,185,46,34959,1995-08-02,1995-06-07,,,,,,
,1995-09-17,43,28 37 44.0,24 51 36.5,1,G20311,M,"G, Y, Y",3000,172,43,34959,1995-08-05,1995-06-10,,,,,,
,1995-09-17,44,28 37 50.7,24 51 30.7,1,G20312,M,"G, Y, R",2200,122,36,34959,1995-08-12,1995-06-17,,,,,,
,1995-09-17,45,28 39 02.5,24 51 10.5,1,G20313,M,"G, G, G",2400,132,38,34959,1995-08-10,1995-06-15,,,,,,
,1995-09-17,46,28 39 27.3,24 51 03.5,1,G20314,M,"G, G, W",4500,365,72,34959,1995-07-07,1995-05-12,,,,,,
,1995-09-17,47,28 39 38.2,24 49 24.4,1,G20315,M,"G, G, B",2500,115,35,34959,1995-08-13,1995-06-18,,,,,,
,1995-09-17,48,28 39 37.0,24 49 27.3,16,,,,,,,,,,,,,,,
,1995-09-17,49,28 39 25.6,24 49 39.3,1,G20317,M,"G, G, R",4100,273,59,34959,1995-07-20,1995-05-25,,,,,,
,1995-09-17,50,28 39 31.3,24 49 28.8,1,G20316,M,"G, G, Y",4200,254,56,34959,1995-07-23,1995-05-28,,,,,,
,1995-09-16,51,?,?,15,,,,,,,,,,,,,,,
,1995-09-16,52,28 39 22.3,24 47 31.8,1,G19860,M,"Y, R, R",3900,232,52,34958,1995-07-26,1995-05-31,,,,,,
,1995-09-16,53,28 39 31.4,24 47 27.7,8,,,,,,,,,,,,,,,
,1995-09-16,54,"28 39 46,8","24 47 54,2",2,,,,1800,98,32,34958,1995-08-15,1995-06-20,,,,,,
,1995-09-16,55,?,?,15,,,,,,,,,,,,,,,
,1995-09-16,56,28 41 06.0,24 48 22.3,15,,,,,,,,,,,,,,,
,1995-09-16,57,28 40 27.0,24 47 21.0,1,G19866,M,"Y, W, G",4100,266,58,34958,1995-07-20,1995-05-25,,,,,,
,1995-09-17,58,28 39 12.3,24 50 12.5,1,G20318,M,"Y, R, G",4600,335,68,34959,1995-07-11,1995-05-16,,,,,,
,1995-09-17,59,28 39 44.9,24 50 04.5,15,,,,,,,,,,,,,,,
,1995-09-17,60,28 39 38.2,24 50 02.9,2,,,,,,,,,,,,,,,
,1995-09-17,61,28 38 15.2,24 49 45.6,15,,,,,,,,,,,,,,,
