,,,,,,,,,,,,,,,,,,,,
,RINGING SURVEY 19 September to 01 November 1993 (table 2),,,,,,,,,,,,,,,CODES,,,,
,Ringing,Tree #,,,Code,Ring,COLOUR RINGS,,Mass,Wing,Age at,Value at,Hatching,Laying ,,1,Chick ringed.,,,
,2012-10-14,348,28 40 12.7,24 48 07.2,6,,,,,,,,,,,,,,,
,2012-10-13,352,28 41 11.0,24 49 30.7,6,,,,,,,,,,,,,,,
,2012-10-13,361,28 34 12.8,24 52 31.0,6,,,,,,,,,,,,,,,
,2012-10-14,369,28 40 39.5,24 47 34.1,6,,,,,,,,,,,,,,,
,2012-10-14,377,28 39 24.1,24 47 45.1,5,,,,,,,,,,,,,,,
,2012-10-14,380,28 39 56.7,24 47 53.1,6,,,,,,,,,,,,,,,
,2012-10-13,384,28 39 43.7,24 49 57.6,6,,,,,,,,,,,,,,,
,2012-10-13,385,28 40 44.7,24 50 02.2,16,,,,,,,,,,,,,,,
,2012-10-13,402,28 39 03.7,24 46 58.7,1,G31621,W224,,5250,430,81,41195,2012-07-24,2012-05-29,,,,,,
,2012-10-14,403,28 40 29.3,24 48 52.3,5,,,,,,,,,,,,,,,
,2012-10-13,407,28 41 14.9,24 49 49.5,8,,,,,,,,,,,,,,,
,2012-10-13,409,28 40 29.4,24 48 31.9,6,,,,,,,,,,,,,,,
,2012-10-14,410,28 39 50.2,24 48 36.5,6,,,,,,,,,,,,,,,
,2012-10-14,411,28 39 59.2,24 48 25.2,1,G31629,W230,,3750,270,59,41196,2012-08-16,2012-06-21,,,,,,
,2012-10-14,413,28 40 08.6,24 48 23.6,6,,,,,,,,,,,,,,,
,2012-10-14,417,28 40 37.0,24 47 44.8,1,G31602,W238,,5300,470,88,41196,2012-07-18,2012-05-23,,,,,,
,2012-10-14,418,28 40 33.4,24 47 38.1,1,G31603,W239,,4800,325,66,41196,2012-08-09,2012-06-14,,,,,,
,2012-10-14,421,28 39 42.6,24 48 02.2,6,,,,,,,,,,,,,,,
,2012-10-14,426,28 35 54.3,24 48 48.1,8,,,,,,,,,,,,,,,
,2012-10-13,427,28 35 57.3,24 49 38.7,16,,,,,,,,,,,,,,,
,2012-10-14,440,28 36 20.5,24 49 01.5,8,,,,,,,,,,,,,,,
,2012-10-13,443,28 40 24.6,24 48 41.3,16,,,,,,,,,,,,,,,
,2012-10-13,444,28 38 50.7,24 47 45.7,6,,,,,,,,,,,,,,,
,2012-10-14,446,28 37 11.0,24 46 32.7,2,,,,,45,12,41196,2012-10-02,2012-08-07,,,,,,
,2012-10-14,447,28 37 20.7,24 46 34.8,6,,,,,,,,,,,,,,,
,2012-10-14,449,28 37 00.9,24 46 49.8,1,G30717,W216,,5500,470,88,41196,2012-07-18,2012-05-23,,,,,,
,2012-10-14,450,28 37 06.0,24 47 00.7,1,G30716,W215,,5300,485,91,41196,2012-07-15,2012-05-20,,,,,,
,2012-10-14,451,28 36 58.6,24 47 09.2,2,,,,,50,15,41196,2012-09-29,2012-08-04,,,,,,
,2012-10-13,452,28 40 32.5,24 50 34.7,6,,,,,,,,,,,,,,,
,2012-10-13,453,28 35 52.3,24 49 12.5,6,,,,,,,,,,,,,,,
,2012-10-13,454,28 36 17.3,24 49 13.8,6,,,,,,,,,,,,,,,
,2012-10-14,455,28 36 58.0,24 46 55.7,1,G30718,W217,,5300,360,72,41196,2012-08-03,2012-06-08,,,,,,
,2012-10-14,456,28 36 45.5,24 47 03.6,16,,,,,,,,,,,,,,,
,2012-10-13,457,28 40 10.2,24 48 57.7,16,,,,,,,,,,,,,,,
,2012-10-13,458,28 38 52.0,24 47 09.6,6,,,,,,,,,,,,,,,
,2012-10-14,459,28 39 19.7,24 47 22.9,5,,,,,,,,,,,,,,,
,2012-10-13,460,28 39 31.3,24 47 34.7,16,,,,,,,,,,,,,,,
,2012-10-13,461,28 40 07.8,24 47 09.0,1,G31628,,,3750,250,56,41195,2012-08-18,2012-06-23,,,,,,
,2012-10-14,462,28 38 41.6,24 46 43.0,1,G30719,W218,,5300,445,83,41196,2012-07-23,2012-05-28,,,,,,
,2012-10-14,472,28 35 36.4,24 49 12.9,6,,,,,,,,,,,,,,,
,TOTALS,76,,,76,22,19,,4768,362,71,,2012-08-03,2012-06-08,,,,,,
,,,,,,,,,,,,,,,,,,,,
,OCTOBER SURVEY 11 to 14 Oct 2013,,,,,,,,,,,,,,,,,,,
,Ringing,Tree #,,,Code,Ring,Tag,,Mass,Wing,Age at,Value at,Hatching,Laying ,,,,,,
,Date,DRN,Southings,Eastings,Oct,#,#,,g,length mm,Ringing (days),Ringing,Date,Date,,,,,,
,2013-10-12,3,28 40 06.2,24 47 45.8,1,G31638,W256,,5200,465,87,41559,2013-07-17,2013-05-22,,,,,,
,2013-10-12,5,28 38 54.4,24 47 31.1,1,G31642,W250,,4900,395,76,41559,2013-07-28,2013-06-02,,,,,,
,2013-10-12,9,28 39 07.6,24 47 20.0,1,G31641,W247,,5400,465,87,41559,2013-07-17,2013-05-22,,,,,,
,2013-09-02,10,28 39 10.4,24 47 06.8,6,,,,,,,,,,,,,,,
,2013-10-12,11,28 39 15.4,24 47 11.9,1,G31819,W223,,4900,420,80,41559,2013-07-24,2013-05-29,,,,,,
,2013-10-12,12,28 39 27.1,4 47 41.1,1,G31636,W248,,4500,435,82,41559,2013-07-22,2013-05-27,,,,,,
,2013-10-12,15,28 39 54.6,24 47 20.4,1,G31610,,,3000,160,42,41559,2013-08-31,2013-07-06,,,,,,
,2013-09-02,16,28 40 04.1,24 47 49.0,15,,,,,,,,,,,,,,,
,2013-10-12,23,28 40 59.9,24 48 36.5,6,,,,,,,,,,,,,,,
,2013-10-12,30,28 40 52.4,24 49 24.4,1,G31612,W231,,4000,340,69,41559,2013-08-04,2013-06-09,,,,,,
,2013-09-02,42,28 37 31.7,24 51 41.4,6,,,,,,,,,,,,,,,
,2013-10-12,52,28 39 22.6,24 47 31.3,6,,,,,,,,,,,,,,,
,2013-09-02,57,28 40 27.0,24 47 21.0,6,,,,,,,,,,,,,,,
,2013-09-02,91,28 40 18.7,24 49 24.2,6,,,,,,,,,,,,,,,
,2013-09-02,95,28 40 29.8,24 50 18.6,8,,,,,,,,,,,,,,,
,2013-10-12,98,28 40 13.7,24 48 39.1,6,,,,,,,,,,,,,,,
,2013-09-02,103,28 40 57.8,24 49 59.8,5,,,,,,,,,,,,,,,
,2013-09-02,104,28 40 33.3,24 48 57.4,6,,,,,,,,,,,,,,,
,2013-09-02,109,28 40 38.0,24 50 16.6,6,,,,,,,,,,,,,,,
,2013-10-12,110,28 41 11.5,24 49 13.2,15,,,,,,,,,,,,,,,
,2013-09-02,121,28 38 53.9,24 50 10.1,5,,,,,,,,,,,,,,,
,2013-09-02,125,28 33 21.6,24 51 47.5,8,,,,,,,,,,,,,,,
,2013-09-02,131,28 33 08.0,24 50 50.6,8,,,,,,,,,,,,,,,
,2013-10-12,139,28 33 21.7,24 50 40.8,1,G30725,W219,,5100,330,67,41559,2013-08-06,2013-06-11,,,,,,
,2013-09-02,152,28 40 27.3,24 47 41.6,6,,,,,,,,,,,,,,,
,2013-10-12,211,28 39 51.8,24 47 25.6,1,G31609,W244,,4500,370,73,41559,2013-07-31,2013-06-05,,,,,,
,2013-10-12,218,28 38 35.5,24 47 24.5,3,,,,,,,,,,,,,,,
,2013-10-12,233,28 33 27.3,24 51 57.0,16,,,,,235,53,,,,,,,,,
,2013-10-12,259,28 36 14.3,24 48 58.4,1,G30730,W232,,4100,370,73,41559,2013-07-31,2013-06-05,,,,,,
,2013-09-02,260,28 35 59.8,24 49 00.6,6,,,,,,,,,,,,,,,
,2013-10-12,266,28 40 15.9,24 48 52.1,6,,,,,,,,,,,,,,,
,2013-10-12,278,28 33 30.0,24 52 01.1,6,,,,,,,,,,,,,,,
,2013-10-12,309,28 39 51.7,24 47 11.6,1,G31616,W220,,5300,385,75,41559,2013-07-29,2013-06-03,,,,,,
,2013-10-12,314,28 39 55.6,24 48 11.0,1,G31639,W259,,4800,385,75,41559,2013-07-29,2013-06-03,,,,,,
,2013-10-12,322,28 41 10.8,24 49 06.2,1,G31611,W221,,4000,310,64,41559,2013-08-09,2013-06-14,,,,,,
,2013-10-12,347,28 39 30.2,24 47 17.1,1,G31617,,,3200,160,42,41559,2013-08-31,2013-07-06,,,,,,
,2013-09-02,348,28 40 12.7,24 48 07.3,6,,,,,,,,,,,,,,,
,2013-10-12,352,28 41 11.0,24 49 30.8,6,,,,,,,,,,,,,,,
,2013-09-02,361,28 34 12.8,24 52 31.0,8,,,,,,,,,,,,,,,
,2013-10-12,365,28 39 29.5,24 47 31.2,1,G31615,W236,,4800,365,72,41559,2013-08-01,2013-06-06,,,,,,
,2013-09-02,370,28 40 35.9,24 47 20.6,8,,,,,,,,,,,,,,,
,2013-09-02,373,28 40 14.8,24 50 10.4,5,,,,,,,,,,,,,,,
,2013-10-12,377,28 39 24.1,24 47 45.1,1,G31637,W253,,5500,450,84,41559,2013-07-20,2013-05-25,,,,,,
,2013-10-12,380,28 39 56.6,24 47 53.1,1,G31630,W249,,4500,440,83,41559,2013-07-21,2013-05-26,,,,,,
,2013-10-12,382,28 41 27.3,24 49 24.3,6,,,,,,,,,,,,,,,
,2013-09-02,385,28 40 44.7,24 50 02.2,6,,,,,,,,,,,,,,,
,2013-10-12,397,28 39 20.6,24 47 14.2,6,,,,,,,,,,,,,,,
,2013-10-12,398,28 39 27.3,24 47 37.2,6,,,,,,,,,,,,,,,
,2013-09-02,403,28 40 29.1,24 48 52.3,8,,,,,,,,,,,,,,,
,2013-09-02,409,28 40 29.4,24 48 31.9,8,,,,,,,,,,,,,,,
,2013-10-13,410,28 39 50.2,24 48 36.5,6,,,,,,,,,,,,,,,
,2013-10-13,411,28 39 59.2,24 48 25.2,1,G31633,W254,,4200,310,64,41560,2013-08-10,2013-06-15,,,,,,
,2013-10-12,413,28 40 08.6,24 48 23.6,1,G31614,W234,,5000,465,87,41559,2013-07-17,2013-05-22,,,,,,
,2013-10-12,414,28 39 59.5,24 48 06.5,1,G31632,W251,,5100,490,92,41559,2013-07-12,2013-05-17,,,,,,
,2013-10-13,417,28 40 37.0,24 47 44.8,1,G31634,W257,,5000,450,84,41560,2013-07-21,2013-05-26,,,,,,
,2013-09-02,418,28 40 33.4,24 47 38.1,8,,,,,,,,,,,,,,,
,2013-10-13,419,28 40 27.0,24 47 37.0,5,,,,,,,,,,,,,,,
,2013-10-12,427,28 35 57.3,24 49 38.7,1,G30728,W222,,3300,280,60,41559,2013-08-13,2013-06-18,,,,,,
,2013-10-12,440,28 36 20.5,24 49 01.5,1,G30720,W235,,4100,290,61,41559,2013-08-12,2013-06-17,,,,,,
,2013-10-12,443,28 40 24.6,24 48 41.3,1,G31613,,,3500,250,56,41559,2013-08-17,2013-06-22,,,,,,
,2013-10-12,445,28 41 29.3,24 49 46.4,6,,,,,,,,,,,,,,,
,2013-10-12,446,28 37 11.0,24 46 32.7,1,G31643,W252,,5100,420,80,41559,2013-07-24,2013-05-29,,,,,,
,2013-10-12,447,28 37 20.7,24 46 34.8,1,G31644,W255,,5400,395,76,41559,2013-07-28,2013-06-02,,,,,,
,2013-10-12,449,28 37 00.9,24 46 49.8,1,G31645,,,3500,200,48,41559,2013-08-25,2013-06-30,,,,,,
,2013-10-13,450,28 37 06.0,24 47 00.7,1,G32447,W261,,5500,470,88,41560,2013-07-17,2013-05-22,,,,,,
,2013-10-13,451,28 36 58.6,24 47 09.2,1,G32446,,,2800,140,39,41560,2013-09-04,2013-07-10,,,,,,
,2013-09-02,454,28 36 17.3,24 49 13.8,5,,,,,,,,,,,,,,,
,2013-10-12,455,28 36 58.0,24 46 55.7,1,G32445,W258,,6000,350,70,41559,2013-08-03,2013-06-08,,,,,,
,2013-09-02,457,28 40 10.2,24 48 57.7,8,,,,,,,,,,,,,,,
,2013-10-13,458,28 38 52.0,24 47 09.6,1,G32448,W264,,5700,390,76,41560,2013-07-29,2013-06-03,,,,,,
,2013-09-02,462,28 38 41.6,24 46 43.0,6,,,,,,,,,,,,,,,
,2013-09-02,463,28 39 12.7,24 46 46.4,6,,,,,,,,,,,,,,,
,2013-09-02,464,28 39 22.2,24 46 58.5,6,,,,,,,,,,,,,,,
,2013-10-12,465,28 39 13.2,24 47 10.9,1,G31820,W233,,4500,410,79,41559,2013-07-25,2013-05-30,,,,,,
,2013-10-12,466,28 39 28.2,24 47 23.6,1,G31818,,,3700,290,61,41559,2013-08-12,2013-06-17,,,,,,
,2013-10-12,467,28 39 40.4,24 47 28.8,1,G31608,W243,,4400,300,62,41559,2013-08-11,2013-06-16,,,,,,
,2013-10-13,468,28 40 07.8,24 47 11.3,1,G32449,W267,,4900,385,75,41560,2013-07-30,2013-06-04,,,,,,
,2013-10-13,469,28 40 19.2,24 47 19.7,1,G32450,W270,,5100,410,79,41560,2013-07-26,2013-05-31,,,,,,
,2013-10-12,470,28 37 01.4,24 47 01.4,2,,,,,,,,,,,,,,,
,2013-10-12,471,28 38 49.2,24 47 55.4,1,G31631,W246,,4200,320,65,41559,2013-08-08,2013-06-13,,,,,,
,TOTALS,80,,,80,37,31,,4559,355,71,,2013-08-02,2013-06-07,,,,,,
,,,,,,,,,,,,,,,,,,,,
,OCTOBER SURVEY 11 to 12 Oct 2014,,,,,,,,,,,,,,,,,,,
,Ringing,Tree #,,,Code,Ring,Tag,,Mass,Wing,Age at,Value at,Hatching,Laying ,,,,,,
,Date,DRN,Southings,Eastings,Oct,#,#,,g,length mm,Ringing (days),Ringing,Date,Date,,,,,,
,2014-10-12,2,28 38 48.2,24 47 05.1,1,G32854,W306,,5300,535,102,41924,2014-07-02,2014-05-07,,,,,,
,2014-10-12,3,28 38 55.6,24 47 15.4,1,G32855,W291,,5300,410,79,41924,2014-07-25,2014-05-30,,,,,,
,2014-10-11,5,28 38 54.4,24 47 31.1,1,G32622,W282,,5000,400,77,41923,2014-07-26,2014-05-31,,,,,,
,2014-10-12,9,28 39 07.6,24 47 20.0,1,G32857,W293,,5800,475,89,41924,2014-07-15,2014-05-20,,,,,,
,2014-09-03,10,28 39 10.4,24 47 06.8,6,,,,,,,,,,,,,,,
,2014-10-12,11,28 39 15.4,24 47 11.9,1,G32858,W294,,5300,480,90,41924,2014-07-14,2014-05-19,,,,,,
,2014-10-11,12,28 39 27.1,24 47 41.1,1,G32628,W287,,6000,520,99,41923,2014-07-04,2014-05-09,,,,,,
,2014-10-11,15,28 39 54.6,24 47 20.4,1,G32630,W327,,4300,415,79,41923,2014-07-24,2014-05-29,,,,,,
,2014-10-11,23,28 40 59.9,24 48 36.5,6,,,,,,,,,,,,,,,
,2014-10-11,30,28 40 52.4,24 49 24.4,1,G32615,W331,,5100,420,80,41923,2014-07-23,2014-05-28,,,,,,
,2014-10-12,42,28 37 31.7,24 51 41.4,1,G32603,W276,,4800,335,68,41924,2014-08-05,2014-06-10,,,,,,
,2014-10-11,52,28 39 22.6,24 47 31.3,6,,,,,,,,,,,,,,,
,2014-10-12,57,28 40 27.0,24 47 21.0,2,,,,,45,12,41924,2014-09-30,2014-08-05,,,,,,
,2014-10-11,64,28 36 51.9,24 49 51.0,6,,,,,,,,,,,,,,,
,2014-10-11,80,28 39 12.7,24 47 57.7,1,G32623,W283,,5500,450,84,41923,2014-07-19,2014-05-24,,,,,,
,2014-10-12,84,28 39 07.7,24 48 37.5,1,G32646,W340,,4200,300,62,41924,2014-08-11,2014-06-16,,,,,,
,2014-10-11,91,28 40 18.7,24 49 24.2,1,G32613,W262,,5700,445,83,41923,2014-07-20,2014-05-25,,,,,,
,2014-09-01,98,28 40 13.7,24 48 39.1,6,,,,,,,,,,,,,,,
,2014-10-12,104,28 40 33.3,24 48 57.4,1,G32620,W335,,4100,360,72,41924,2014-08-01,2014-06-06,,,,,,
,2014-10-11,109,28 40 38.0,24 50 16.6,1,G32611,W245,,5000,350,70,41923,2014-08-02,2014-06-07,,,,,,
,2014-10-11,110,28 41 11.5,24 49 13.2,1,G32616,W332,,5000,510,96,41923,2014-07-07,2014-05-12,,,,,,
,2014-10-11,131,28 33 08.0,24 50 50.6,1,G31640,W266,,5000,340,69,41923,2014-08-03,2014-06-08,,,,,,
,2014-10-11,169,28 33 59.4,24 50 11.8,1,G31647,W269,,5400,440,83,41923,2014-07-20,2014-05-25,,,,,,
,2014-10-12,192,28 39 52.3,24 47 52.3,2,,,,,,,,,,,,,,,
,2014-10-11,211,28 39 51.8,24 47 25.6,1,G32629,W328,,5300,390,76,41923,2014-07-27,2014-06-01,,,,,,
,2014-10-13,218,28 38 35.5,24 47 24.5,4,,,,,,,,,,,,,,,
,2014-10-11,227,28 34 34.1,24 49 51.0,1,G31648,W271,,4700,335,68,41923,2014-08-04,2014-06-09,,,,,,
,2014-09-03,259,28 36 14.3,24 48 58.4,6,,,,,,,,,,,,,,,
,2014-09-03,260,28 35 59.8,24 49 00.6,6,,,,,,,,,,,,,,,
,2014-09-03,264,28 39 43.9,24 47 26.6,5,,,,,,,,,,,,,,,
,2014-10-12,266,28 40 15.9,24 48 52.1,6,,,,,,,,,,,,,,,
,2014-10-11,309,28 39 51.7,24 47 11.6,1,G32851,W288,,6000,400,77,41923,2014-07-26,2014-05-31,,,,,,
,2014-10-12,314,28 39 55.6,24 48 11.0,1,G32882,W298,,6000,450,84,41924,2014-07-20,2014-05-25,,,,,,
,2014-10-11,322,28 41 10.8,24 49 06.2,2,,,,,,,,,,,,,,,
,2014-09-03,347,28 39 30.2,24 47 17.1,6,,,,,,,,,,,,,,,
,2014-10-12,348,28 40 12.7,24 48 07.3,5,,,,,,,,,,,,,,,
,2014-10-13,350,28 39 03.1,24 47 10.1,1,G32636,W326,,4800,515,97,41925,2014-07-08,2014-05-13,,,,,,
,2014-10-12,357,28 37 03.9,24 46 21.5,1,G32606,W279,,4500,320,65,41924,2014-08-08,2014-06-13,,,,,,
,2014-10-11,361,28 34 12.8,24 52 31.0,1,G31635,W265,,4300,300,62,41923,2014-08-10,2014-06-15,,,,,,
,2014-10-11,365,28 39 29.5,24 47 31.2,1,G32625,W305,,5300,480,90,41923,2014-07-13,2014-05-18,,,,,,
,2014-10-11,373,28 40 14.8,24 50 10.4,1,G32612,W260,,4600,300,62,41923,2014-08-10,2014-06-15,,,,,,
,2014-10-12,377,28 39 24.1,24 47 45.1,1,G32859,W295,,6200,510,96,41924,2014-07-08,2014-05-13,,,,,,
,2014-10-12,380,28 39 56.6,24 47 53.1,1,G32860,W296,,6000,430,81,41924,2014-07-23,2014-05-28,,,,,,
,2014-09-01,385,28 40 44.7,24 50 02.2,6,,,,,,,,,,,,,,,
,2014-10-12,396,28 40 30.6,24 47 15.7,1,G32644,W338,,4100,430,81,41924,2014-07-23,2014-05-28,,,,,,
,2014-09-03,397,28 39 20.6,24 47 14.2,6,,,,,,,,,,,,,,,
,2014-10-11,398,28 39 27.3,24 47 37.2,1,G32627,W286,,5800,505,95,41923,2014-07-08,2014-05-13,,,,,,
,2014-10-12,402,28 39 03.7,24 46 58.7,6,,,,,,,,,,,,,,,
,2014-08-30,407,28 41 14.8,24 49 49.5,8,,,,,,,,,,,,,,,
,2014-10-12,409,28 40 29.4,24 48 31.9,1,G32641,W336,,4200,330,67,41924,2014-08-06,2014-06-11,,,,,,
,2014-09-01,412,28 39 58.2,24 48 15.2,5,,,,,,,,,,,,,,,
,2014-09-01,413,28 40 08.6,24 48 23.6,6,,,,,,,,,,,,,,,
,2014-10-12,414,28 39 59.5,24 48 06.5,1,G32881,W297,,6300,490,92,41924,2014-07-12,2014-05-17,,,,,,
,2014-10-12,417,28 40 37.0,24 47 44.8,1,G32643,W337,,5300,435,82,41924,2014-07-22,2014-05-27,,,,,,
,2014-10-11,426,28 35 54.3,24 48 48.1,1,G31649,W272,,3700,285,60,41923,2014-08-12,2014-06-17,,,,,,
,2014-10-12,427,28 35 57.2,24 49 38.6,1,G32602,W275,,4600,300,62,41924,2014-08-11,2014-06-16,,,,,,
,2014-09-03,428,28 36 02.5,24 49 26.9,6,,,,,,,,,,,,,,,
,2014-09-01,430,28 40 28.2,24 49 42.0,6,,,,,,,,,,,,,,,
,2014-10-11,440,28 36 20.5,24 49 01.5,1,G31650,W273,,5200,355,71,41923,2014-08-01,2014-06-06,,,,,,
,2014-09-01,443,28 40 24.6,24 48 41.3,6,,,,,,,,,,,,,,,
,2014-10-12,446,28 37 11.0,24 46 32.7,2,,,,,145,39,41924,2014-09-03,2014-07-09,,,,,,
,2014-10-12,448,28 37 18.6,24 46 51.3,6,,,,,,,,,,,,,,,
,2014-10-12,449,28 37 00.9,24 46 49.8,6,,,,,,,,,,,,,,,
,2014-10-12,450,28 37 06.0,24 47 00.7,1,G32634,W324,,3300,340,69,41924,2014-08-04,2014-06-09,,,,,,
,2014-10-12,451,28 36 58.6,24 47 09.2,1,G32635,W325,,5100,395,76,41924,2014-07-28,2014-06-02,,,,,,
,2014-10-12,455,28 36 58.0,24 46 55.7,1,G32633,W323,,5800,430,81,41924,2014-07-23,2014-05-28,,,,,,
,2014-09-03,458,28 38 52.0,24 47 09.6,6,,,,,,,,,,,,,,,
,2014-09-03,462,028 38 41.6,24 46 43.0,6,,,,,,,,,,,,,,,
,2014-09-03,463,28 39 12.7,24 46 46.4,8,,,,,,,,,,,,,,,
,2014-10-11,464,28 39 22.2,24 46 58.5,1,G32853,W290,,5500,505,95,41923,2014-07-08,2014-05-13,,,,,,
,2014-10-11,466,28 39 27.5,24 47 24.1,6,,,,,,,,,,,,,,,
,2014-10-11,467,28 39 40.4,24 47 28.8,6,,,,,,,,,,,,,,,
,2014-10-11,468,28 40 07.8,24 47 11.3,1,G32852,W289,,5000,440,83,41923,2014-07-20,2014-05-25,,,,,,
,2014-10-12,469,28 40 19.2,24 47 19.7,1,G32645,W339,,4800,470,88,41924,2014-07-16,2014-05-21,,,,,,
,2014-10-11,471,28 38 49.2,24 47 55.4,1,G32621,W281,,6500,500,94,41923,2014-07-09,2014-05-14,,,,,,
,2014-10-11,472,28 35 36.4,24 49 12.9,2,,,,2500,125,37,41923,2014-09-04,2014-07-10,,,,,,
,2014-10-11,473,28 41 02.1,24 49 10.7,1,G32619,W307,,5300,515,97,41923,2014-07-06,2014-05-11,,,,,,
,2014-10-11,474,28 41 26.3,24 48 41.8,1,G32617,W333,,5400,470,88,41923,2014-07-15,2014-05-20,,,,,,
,2014-10-11,475,28 41 17.8,24 48 28.7,1,G32618,W334,,5200,475,89,41923,2014-07-14,2014-05-19,,,,,,
,2014-10-12,476,28 40 32.5,24 47 41.0,1,G32642,,,3400,265,58,41924,2014-08-15,2014-06-20,,,,,,
,2014-10-12,477,28 40 21.5,24 46 59.6,6,,,,,,,,,,,,,,,
,2014-10-11,478,28 40 05.7,24 47 00.8,6,,,,,,,,,,,,,,,
,2014-10-11,479,28 40 39.1,24 49 20.8,1,G32614,W263,,5000,420,80,41923,2014-07-23,2014-05-28,,,,,,
,2014-10-11,480,28 41 03.3,24 50 11.6,6,,,,,,,,,,,,,,,
,2014-10-12,481,28 38 21.2,24 46 58.4,1,G32605,W278,,5900,505,95,41924,2014-07-09,2014-05-14,,,,,,
,2014-10-12,482,28 37 03.0,24 46 31.8,1,G32607,W280,,4800,300,62,41924,2014-08-11,2014-06-16,,,,,,
,2014-10-12,483,28 37 05.4,24 46 44.0,1,G32608,W318,,4300,280,60,41924,2014-08-13,2014-06-18,,,,,,
,2014-10-12,484,28 37 01.8,24 46 55.9,1,G32610,W320,,5000,330,67,41924,2014-08-06,2014-06-11,,,,,,
,2014-10-12,485,28 37 07.5,24 47 12.1,1,G32609,W319,,4600,430,81,41924,2014-07-23,2014-05-28,,,,,,
,2014-09-03,486,28 39 42.2,24 47 45.8,6,,,,,,,,,,,,,,,
,2014-10-11,487,28 39 17.8,24 47 38.1,1,G32624,W284,,5200,520,99,41923,2014-07-04,2014-05-09,,,,,,
,2014-10-12,489,28 39 07.8,24 47 14.4,1,G32856,W292,,5300,430,81,41924,2014-07-23,2014-05-28,,,,,,
,2014-10-11,490,28 39 28.7,24 47 27.4,1,G32626,W285,,4300,350,70,41923,2014-08-02,2014-06-07,,,,,,
,2014-10-12,492,28 37 51.1,24 50 06.1,1,G32604,W277,,5400,500,94,41924,2014-07-10,2014-05-15,,,,,,
,2014-09-04,493,28 36 02.2,24 49 27.3,6,,,,,,,,,,,,,,,
,2014-10-12,494,28 36 14.2,24 49 21.0,1,G32601,W274,,5100,443,83,41924,2014-07-21,2014-05-26,,,,,,
,2014-10-11,496,28 37 31.4,24 51 35.3,2,,,,,130,38,41923,2014-09-03,2014-07-09,,,,,,
,2014-10-11,497,28 33 32.8,24 50 29.9,1,G31646,W268,,4800,375,73,41923,2014-07-30,2014-06-04,,,,,,
,2014-10-12,498,28 36 25.6,24 46 43.5,1,G32632,W322,,5200,430,81,41924,2014-07-23,2014-05-28,,,,,,
,2014-10-12,499,28 36 21.4,24 46 49.7,1,G32631,W321,,4200,300,62,41924,2014-08-11,2014-06-16,,,,,,
,TOTALS,100,,,100,61,60,,5010,394,77,,2014-07-26,2014-05-31,,,,,,
,,,,,,,,,,,,,,,,,,,,
,OCTOBER SURVEY 10 to 12 Oct 2015 (table 2),,,,,,,,,,,,,,,,,,,
,Ringing,Tree #,,,Code,Ring,Tag,,Mass,Wing,Age at,Value at,Hatching,Laying ,,,,,,
,Date,DRN,Southings,Eastings,Oct,#,#,,g,length mm,Ringing (days),Ringing,Date,Date,,,,,,
,2015-10-10,3,28 38 55.6,24 47 15.4,15,,,,,,,,,,,,,,,
,2015-10-10,5,28 38 54.4,24 47 31.2,15,,,,,,,,,,,,,,,
,2015-10-10,10,28 39 07.4,24 47 07.5,6,,,,,,,,,,,,,,,
,2015-10-10,11,28 39 15.4,24 47 11.9,1,G32887,W342,,4500,440,83,42287,2015-07-19,2015-05-24,,,,,,
,2015-10-11,12,28 39 27.1,24 47 41.1,1,G32873,W375,,4000,500,94,42288,2015-07-09,2015-05-14,,,,,,
,2015-10-10,23,28 40 59.9,24 48 36.5,1,G32869,W315,,3700,440,83,42287,2015-07-19,2015-05-24,,,,,,
,2015-10-10,27,28 41 04.9,24 48 58.3,6,,,,,,,,,,,,,,,
,2015-11-14,30,28 40 52.4,24 49 24.4,1,G32867,W373,,5200,460,86,42322,2015-08-20,2015-06-25,,,,,,
,2015-10-11,42,28 37 31.7,24 51 41.4,1,G32878,W300,,4300,370,73,42288,2015-07-30,2015-06-04,,,,,,
,2015-10-10,52,28 39 22.6,24 47 31.3,6,,,,,,,,,,,,,,,
,2015-11-14,63,28 37 49.6,24 49 56.6,1,G32981,W355,,5000,440,83,42322,2015-08-23,2015-06-28,,,,,,
,2015-10-11,80,28 39 12.7,24 47 57.7,8,,,,,,,,,,,,,,,
,2015-10-10,83,28 40 13.5,24 50 25.2,1,G32862,W309,,4000,460,86,42287,2015-07-16,2015-05-21,,,,,,
,2015-10-10,91,28 40 18.7,24 49 24.2,6,,,,,,,,,,,,,,,
,2015-10-10,94,28 39 55.7,24 49 57.8,6,,,,,,,,,,,,,,,
,2015-10-10,95,28 40 29.8,24 50 18.6,1,G32863,W310,,3800,330,67,42287,2015-08-04,2015-06-09,,,,,,
,2015-10-11,98,28 40 13.7,24 48 39.1,1,G32454,W367,,4000,375,73,42288,2015-07-30,2015-06-04,,,,,,
,2015-10-10,103,28 40 57.8,24 49 59.8,1,G32864,W311,,3700,390,76,42287,2015-07-26,2015-05-31,,,,,,
,2015-10-10,104,28 40 33.3,24 48 57.4,1,G32870,W316,,3600,305,63,42287,2015-08-08,2015-06-13,,,,,,
,2015-10-10,109,28 40 38.0,24 50 16.6,6,,,,,,,,,,,,,,,
